date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-15,2545.0,2547.95,2461.3,2473.35,2368.6105,78644.0,2532.96,2576.27,,2549.6798469310393,2563.6391207264737,-13.959273795434456,-7.973034462779545,-5.986239332654911,,,,,,,-0.021269439278224,-0.04428215382831968,,168500.3,0.46672913935464805,,,Friday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.028,Neutral,0.137,Corporate Governance,12.0,13.0,8,-1.97,-41.86,25.02,1.01,covid_crash,,,0.42600000000000005,-0.1246,0.20180433317669097,4,5,2,2020,0,0,2527.1,-0.398,2487.05,0.015,2577.7,-0.216,2587.95,0.119,2360.15,-0.045767885661147756,2372.85,-0.040633149372308774,2433.65,-0.016051104776921954,2497.9,0.009925809125275409,ALKEM.NSE
2020-05-18,2486.0,2486.0,2336.0,2360.15,2260.2042,103172.0,2485.07,2545.93,,2515.0004548300467,2537.2465173028045,-22.246062472757785,-11.09589143619313,-11.150171036564656,,,,,,,-0.045767885661147756,-0.09211032466533309,-0.113908130127086,152828.5,0.6750835086387683,0.020720182679313675,,Monday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.112,Positive,0.165,Interest Rate Policy,15.0,13.0,6,0.09,42.76,49.81,-1.61,covid_crash,,,0.084,-0.0918,0.1718990659919038,0,5,2,2020,0,0,2473.35,0.028,2527.1,-0.398,2487.05,0.015,2599.6,-0.052,2372.85,0.005381013918606792,2433.65,0.031142088426582948,2474.95,0.0486409762091391,,,ALKEM.NSE
2020-05-19,2370.6,2421.75,2346.85,2372.85,2272.3664,74441.0,2444.1,2515.8,,2489.7265706212456,2517.0478148529714,-27.321244231725814,-14.580416751651294,-12.74082748007452,,,,,,,0.005381013918606792,-0.07947007021763586,-0.11267131611914072,139674.0,0.5329624697509916,0.020843321284487636,,Tuesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.272,Negative,0.232,COVID-19 Impact,10.0,28.0,7,1.32,5.85,39.15,1.77,covid_crash,,,-0.384,-0.10300000000000001,0.18317753986532062,1,5,2,2020,0,0,2360.15,0.112,2473.35,0.028,2527.1,-0.398,2577.7,-0.216,2433.65,0.025623195735086535,2474.95,0.04302842573276866,2497.9,0.05270033925448314,2411.85,0.016435931474808818,ALKEM.NSE
2020-05-20,2384.0,2445.0,2361.05,2433.65,2330.5917,53335.0,2433.42,2497.7,,2479.9895476414695,2507.277775885707,-27.288228244237416,-17.26983117149484,-10.018397072742577,,,,,,,0.025623195735086535,-0.021471220924388357,-0.06922532652553881,124238.8,0.4292942301438842,0.023478238520823678,,Wednesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.271,Positive,0.301,Inflation Concerns,17.0,22.0,7,-0.11,10.03,50.21,0.88,covid_crash,,,0.543,-0.0518,0.2084447435439693,2,5,2,2020,0,0,2372.85,-0.272,2360.15,0.112,2473.35,0.028,2487.05,0.015,2474.95,0.016970394263760014,2497.9,0.026400673884905412,,,2299.15,-0.055266780350502365,ALKEM.NSE
2020-05-21,2443.0,2493.0,2441.9,2474.95,2370.1427,40994.0,2422.99,2489.435,,2479.131473581853,2503.6469819284293,-24.515508346576553,-18.785632242635774,-5.729876103940779,,,,,,34.37448218724104,0.016970394263760014,-0.020636302481104818,-0.03231545198623709,117849.1,0.3478516170255012,0.023938758448295735,,Thursday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.155,Negative,0.211,Vaccine Rollout,15.0,21.0,4,3.03,70.57,43.96,-1.89,covid_crash,,,-0.42600000000000005,-0.003199999999999997,0.20463995482581385,3,5,2,2020,0,0,2433.65,0.271,2372.85,-0.272,2360.15,0.112,2527.1,-0.398,2497.9,0.009272914604335547,,,2411.85,-0.02549546455483942,2324.3,-0.060869916563970894,ALKEM.NSE
2020-05-22,2475.0,2524.0,2463.6,2497.9,2392.1208,94050.0,2427.9,2480.43,,2482.275523062852,2503.0252992585647,-20.74977619571291,-19.19278650014496,-1.5569896955679532,,,,,,36.7786734775321,0.009272914604335547,0.009925809125275409,-0.034795880909600174,108728.1,0.8650017796687333,0.02377304464028461,,Friday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.138,Positive,0.205,Inflation Concerns,9.0,19.0,10,-0.91,23.55,35.58,0.2,covid_crash,,,0.29300000000000004,0.018800000000000004,0.20651255006254063,4,5,2,2020,0,0,2474.95,-0.155,2433.65,0.271,2372.85,-0.272,2473.35,0.028,,,2411.85,-0.03444893710717012,2299.15,-0.0795668361423596,2262.9,-0.09407902638216104,ALKEM.NSE
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.257,Positive,0.451,Capacity Expansion,11.0,23.0,9,-4.65,-20.72,53.05,1.25,covid_crash,,,0.119,0.04780000000000001,0.22859862933389025,0,5,2,2020,0,0,2497.9,0.138,2474.95,-0.155,2433.65,0.271,2360.15,0.112,2411.85,,2299.15,,2324.3,,2282.05,,ALKEM.NSE
2020-05-26,2502.0,2514.0,2403.0,2411.85,2309.7148,81042.0,2438.24,2461.6549999999997,,2470.637150102813,2493.4876139689136,-22.850463866100654,-19.945509234755505,-2.9049546313451486,,,,,,31.31500213705654,-0.03444893710717012,0.021905387369446805,-0.07222264963840586,102899.2,0.7875862980470208,0.025486028588105062,,Tuesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.375,Positive,0.297,Inflation Concerns,15.0,22.0,5,0.41,-12.78,55.16,0.98,covid_crash,,,0.118,0.17720000000000002,0.2484084673811798,1,5,2,2020,0,0,,0.257,2497.9,0.138,2474.95,-0.155,2372.85,-0.272,2299.15,-0.046727615730663086,2324.3,-0.03629993573398005,2262.9,-0.06175757198830767,2401.0,-0.00449862139021906,ALKEM.NSE
2020-05-27,2425.0,2425.0,2222.0,2299.15,2201.7874,351567.0,2423.5,2433.8,,2442.6173014161855,2473.7606490261105,-31.14334760992506,-22.23666924666891,-8.906678363256148,,,,,,29.10872732088464,-0.046727615730663086,-0.031059696145984694,-0.10806145012996071,124577.2,2.8220814081549435,0.028406086851211668,,Wednesday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.336,Positive,0.291,Corporate Governance,11.0,20.0,4,7.09,-75.86,24.67,-1.03,covid_crash,,,-0.03899999999999998,0.1902,0.2653948002504947,2,5,2,2020,0,0,2411.85,0.375,,0.257,2497.9,0.138,2433.65,0.271,2324.3,0.010938825218015369,2262.9,-0.015766696387795487,2282.05,-0.00743753126155311,2424.05,0.0543244242437424,ALKEM.NSE
2020-05-28,2320.0,2360.0,2295.05,2324.3,2225.8723,129793.0,2401.63,2417.525,,2423.4678710488165,2458.994200409089,-35.526329360272484,-24.94336068764966,-10.582968672622826,,,,,,33.87029867256638,0.010938825218015369,-0.04493250878310351,-0.06543897388472286,112809.9,1.1505461843331126,0.02778313046420602,,Thursday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.324,Positive,0.355,COVID-19 Impact,16.0,23.0,3,-1.24,-25.5,44.91,1.14,covid_crash,,,-0.01200000000000001,0.28600000000000003,0.21818147390545226,3,5,2,2020,0,0,2299.15,0.336,2411.85,0.375,,0.257,2474.95,-0.155,2262.9,-0.026416555522092655,2282.05,-0.018177515811211964,2401.0,0.03299918254958478,2445.0,0.0519296132168825,ALKEM.NSE
